,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
28,integ,I_11a,II_sp,14,III_la,361330.300,0.402,325797.300,0.477,{'alpha': [199.0]}
29,integ,I_02cd,II_r2r,22,III_la,366152.700,0.386,326834.700,0.473,{'alpha': [199.0]}
30,integ,I_01a,II_sp,10,III_mlr,359641.700,0.407,327462.400,0.471,{}
31,integ,I_11cd,II_r2r,18,III_la,342417.600,0.463,327799.600,0.470,{'alpha': [199.0]}
32,integ,I_02cl,II_sp,20,III_la,333687.600,0.490,336320.200,0.442,{'alpha': [199.0]}
33,integ,I_11cp,II_r2r,28,III_la,320309.700,0.530,336548.200,0.441,{'alpha': [199.0]}
34,integ,I_11cl,II_r2r,40,III_dtr,317936.900,0.537,340500.300,0.428,"{'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [8]}"
35,integ,I_13s3g,II_sp,8,III_mlr,368027.100,0.379,351570.900,0.390,{}
36,integ,I_10ch,II_ps,38,III_la,361142.700,0.402,354623.100,0.380,{'alpha': [199.0]}
37,integ,I_12s3g,II_r2r,62,III_dtr,368773.600,0.377,356471.900,0.373,"{'max_depth': [2], 'max_features': [10], 'max_leaf_nodes': [4]}"
38,integ,I_11cg,II_r2r,18,III_la,366439.700,0.385,357490.700,0.370,{'alpha': [199.0]}
39,integ,I_02s1h,II_r2r,8,III_la,343760.400,0.458,360010.100,0.361,{'alpha': [199.0]}
40,integ,I_13s3l,II_sp,6,III_la,379251.400,0.341,361507.600,0.356,{'alpha': [199.0]}
41,integ,I_02s3h,II_ps,137,III_dtr,387084.700,0.313,362106.900,0.353,"{'max_depth': [2], 'max_features': [10], 'max_leaf_nodes': [4]}"
42,integ,I_13s3h,II_ps,4,III_mlr,386651.700,0.315,362396.600,0.352,{}
43,integ,I_12s3h,II_sp,6,III_mlr,388749.500,0.307,364222.500,0.346,{}
44,integ,I_02s3p,II_ps,24,III_la,369191.800,0.375,364608.700,0.344,{'alpha': [199.0]}
