,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
14346,integ,I_01s1g,II_ps,76,III_dtr,391003.400,0.299,430877.000,0.084,"{'max_depth': [4], 'max_features': [65], 'max_leaf_nodes': [4]}"
14347,integ,I_01s1g,II_sp,78,III_dtr,391003.400,0.299,430877.000,0.084,"{'max_depth': [4], 'max_features': [50], 'max_leaf_nodes': [4]}"
14348,integ,I_01s1g,II_sp,92,III_dtr,391003.400,0.299,430877.000,0.084,"{'max_depth': [4], 'max_features': [80], 'max_leaf_nodes': [4]}"
14349,integ,I_01s1p,II_r2r,22,III_la,404722.300,0.249,430887.600,0.084,{'alpha': [199.0]}
14350,integ,I_01s1p,II_rr2,22,III_la,404722.300,0.249,430887.600,0.084,{'alpha': [199.0]}
14351,integ,I_13s1d,II_ps,36,III_dtr,385332.800,0.320,430906.000,0.084,"{'max_depth': [2], 'max_features': [10], 'max_leaf_nodes': [4]}"
14352,integ,I_01s2p,II_ps,26,III_dtr,399606.500,0.268,430916.000,0.084,"{'max_depth': [6], 'max_features': [26], 'max_leaf_nodes': [10]}"
14353,integ,I_01s2p,II_ps,24,III_dtr,399606.500,0.268,430916.000,0.084,"{'max_depth': [10], 'max_features': [19], 'max_leaf_nodes': [10]}"
14354,integ,I_01s2p,II_ps,22,III_dtr,399606.500,0.268,430916.000,0.084,"{'max_depth': [6], 'max_features': [22], 'max_leaf_nodes': [10]}"
14355,integ,I_01s2h,II_sp,14,III_dtr,403969.700,0.252,430916.800,0.084,"{'max_depth': [4], 'max_features': [14], 'max_leaf_nodes': [6]}"
14356,integ,I_01s2h,II_sp,12,III_dtr,403969.700,0.252,430916.800,0.084,"{'max_depth': [4], 'max_features': [12], 'max_leaf_nodes': [6]}"
14357,integ,I_01s2h,II_sp,10,III_dtr,403969.700,0.252,430916.800,0.084,"{'max_depth': [4], 'max_features': [10], 'max_leaf_nodes': [6]}"
14358,integ,I_01s2h,II_sp,8,III_dtr,403969.700,0.252,430916.800,0.084,"{'max_depth': [4], 'max_features': [8], 'max_leaf_nodes': [6]}"
14359,integ,I_02s3d,II_sp,26,III_dtr,428293.200,0.159,430966.600,0.084,"{'max_depth': [2], 'max_features': [10], 'max_leaf_nodes': [4]}"
14360,integ,I_12s1d,II_r2r,22,III_la,385723.900,0.318,430970.700,0.084,{'alpha': [114.0]}
14361,integ,I_12s1d,II_rr2,22,III_la,385723.900,0.318,430970.700,0.084,{'alpha': [114.0]}
14362,integ,I_01s2g,II_r2r,16,III_dtr,398069.600,0.274,430978.600,0.084,"{'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [10]}"
14363,integ,I_01s2g,II_rr2,16,III_dtr,398069.600,0.274,430978.600,0.084,"{'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [10]}"
