,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
97,emev,i_11s2l,ii_random,des_random_9,iii_svm_rbf,0.132,0.263,0.100,0.214,0.100,0.275,{'gamma': [0.019]}
98,emev,i_11s2p,ii_random,des_random_9,iii_svm_rbf,0.132,0.263,0.100,0.214,0.100,0.275,{'gamma': [0.019]}
99,emev,i_11s2h,ii_random,des_random_9,iii_svm_rbf,0.132,0.263,0.100,0.214,0.100,0.275,{'gamma': [0.019]}
100,emev,i_11s2g,ii_random,des_random_9,iii_svm_rbf,0.132,0.263,0.100,0.214,0.100,0.275,{'gamma': [0.019]}
101,emev,i_11s2d,ii_random,des_random_9,iii_svm_rbf,0.132,0.263,0.100,0.214,0.100,0.275,{'gamma': [0.019]}
102,emev,i_10s2l,ii_rf,rf_ff_final,iii_svm_rbf,0.134,0.244,0.100,0.191,0.100,0.273,{'gamma': [8.6]}
103,emev,i_10s2p,ii_rf,rf_ff_final,iii_svm_rbf,0.134,0.244,0.100,0.191,0.100,0.273,{'gamma': [8.6]}
104,emev,i_10s2h,ii_rf,rf_ff_final,iii_svm_rbf,0.134,0.244,0.100,0.191,0.100,0.273,{'gamma': [8.6]}
105,emev,i_10s2g,ii_rf,rf_ff_final,iii_svm_rbf,0.134,0.244,0.100,0.191,0.100,0.273,{'gamma': [8.6]}
106,emev,i_10s2d,ii_rf,rf_ff_final,iii_svm_rbf,0.134,0.244,0.100,0.191,0.100,0.273,{'gamma': [8.6]}
107,emev,i_02s2l,ii_random,des_random_2,iii_svm_rbf,0.134,0.249,0.100,0.195,0.100,0.272,{'gamma': [0.00029]}
108,emev,i_02s2p,ii_random,des_random_2,iii_svm_rbf,0.134,0.249,0.100,0.195,0.100,0.272,{'gamma': [0.00029]}
109,emev,i_02s2h,ii_random,des_random_2,iii_svm_rbf,0.134,0.249,0.100,0.195,0.100,0.272,{'gamma': [0.00029]}
110,emev,i_02s2g,ii_random,des_random_2,iii_svm_rbf,0.134,0.249,0.100,0.195,0.100,0.272,{'gamma': [0.00029]}
111,emev,i_02s2d,ii_random,des_random_2,iii_svm_rbf,0.134,0.249,0.100,0.195,0.100,0.272,{'gamma': [0.00029]}
112,emev,i_01s2g,ii_random,des_random_1,iii_lgbm,0.126,0.335,0.100,0.208,0.100,0.268,"{'learning_rate': [0.065], 'max_depth': [8], 'n_estimators': [40], 'num_leaves': [20]}"
113,emev,i_01s2h,ii_random,des_random_5,iii_lgbm,0.121,0.382,0.100,0.217,0.100,0.264,"{'learning_rate': [0.1], 'max_depth': [12], 'n_estimators': [130], 'num_leaves': [20]}"
114,emev,i_13s2l,ii_random,des_random_8,iii_rf,0.131,0.274,0.100,0.204,0.100,0.263,"{'max_depth': [8], 'max_features': [18], 'max_leaf_nodes': [8], 'n_estimators': [20]}"
115,emev,i_13s2p,ii_random,des_random_8,iii_rf,0.131,0.274,0.100,0.204,0.100,0.263,"{'max_depth': [8], 'max_features': [18], 'max_leaf_nodes': [8], 'n_estimators': [20]}"
116,emev,i_13s2h,ii_random,des_random_8,iii_rf,0.131,0.274,0.100,0.204,0.100,0.263,"{'max_depth': [8], 'max_features': [18], 'max_leaf_nodes': [8], 'n_estimators': [20]}"
117,emev,i_13s2g,ii_random,des_random_8,iii_rf,0.131,0.274,0.100,0.204,0.100,0.263,"{'max_depth': [8], 'max_features': [18], 'max_leaf_nodes': [8], 'n_estimators': [20]}"
118,emev,i_13s2d,ii_random,des_random_8,iii_rf,0.131,0.274,0.100,0.204,0.100,0.263,"{'max_depth': [8], 'max_features': [18], 'max_leaf_nodes': [8], 'n_estimators': [20]}"
119,emev,i_12s2l,ii_random,des_random_9,iii_la,0.132,0.270,0.100,0.209,0.100,0.261,{'alpha': [0.0018]}
120,emev,i_12s2p,ii_random,des_random_9,iii_la,0.132,0.270,0.100,0.209,0.100,0.261,{'alpha': [0.0018]}
121,emev,i_12s2h,ii_random,des_random_9,iii_la,0.132,0.270,0.100,0.209,0.100,0.261,{'alpha': [0.0018]}
122,emev,i_12s2g,ii_random,des_random_9,iii_la,0.132,0.270,0.100,0.209,0.100,0.261,{'alpha': [0.0018]}
123,emev,i_12s2d,ii_random,des_random_9,iii_la,0.132,0.270,0.100,0.209,0.100,0.261,{'alpha': [0.0018]}
124,emev,i_01s2p,ii_corr,10,iii_rf,0.131,0.280,0.100,0.187,0.100,0.250,"{'max_depth': [10], 'max_features': [10], 'max_leaf_nodes': [6], 'n_estimators': [20]}"
125,emev,i_01s2d,ii_corr,10,iii_rf,0.131,0.280,0.100,0.187,0.100,0.250,"{'max_depth': [10], 'max_features': [10], 'max_leaf_nodes': [6], 'n_estimators': [20]}"
126,emev,i_10s1l,ii_la,la_ff_final,iii_svm_rbf,0.131,0.276,0.100,0.213,0.100,0.241,{'gamma': [0.046]}
127,emev,i_10s1h,ii_la,la_ff_final,iii_svm_rbf,0.133,0.260,0.100,0.212,0.100,0.236,{'gamma': [0.11]}
128,emev,i_10s3h,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.125,0.340,0.100,0.246,0.100,0.234,"{'learning_rate': [0.063], 'max_depth': [6], 'max_features': [19], 'max_leaf_nodes': [10], 'n_estimators': [50]}"
129,emev,i_11s1d,ii_rf,rf_ff_final,iii_svm_rbf,0.136,0.220,0.100,0.188,0.100,0.203,{'gamma': [0.015]}
130,emev,i_10s1p,ii_random,des_random_less10,iii_rf,0.128,0.316,0.100,0.187,0.100,0.195,"{'max_depth': [6], 'max_features': [9], 'max_leaf_nodes': [24], 'n_estimators': [1120]}"
131,emev,i_10s1g,ii_random,des_random_less10,iii_rf,0.135,0.230,0.100,0.218,0.100,0.184,"{'max_depth': [8], 'max_features': [6], 'max_leaf_nodes': [10], 'n_estimators': [700]}"
132,emev,i_10s1d,ii_la,rf_ff_less5,iii_rf,0.147,0.089,0.100,0.107,0.100,0.064,"{'max_depth': [4], 'max_features': [4], 'max_leaf_nodes': [14], 'n_estimators': [20]}"
